Carl Friedrich,Abel
Hans,Abrahamsen
Adolphe Charles,Adam
John Coolidge,Adams
John Luther,Adams
Thomas Joseph Edmund,Adès
Samuel Hans,Adler
Alexander,Agricola
Isaac,Albeniz
Heinrich,Albert
Domenico,Alberti
Tomaso Giovanni,Albinoni
Johann Georg ,Albrechtsberger
William Hugh,Albright
Francesco,Algarotti
Charles-Valentin,Alkan
Nicolò,Amati
Laurie,Anderson
Thomas Jefferson,Anderson
Louis,Andriessen
Pasquale,Anfossi
Jean Henry d',Anglebert
Giovanni,Animuccia
John,Antes
Thoinot,Arbeau
Dominick,Argento
Attiio Malachia,Ariosti
Thomas Augustine,Arne
Robert Reynolds,Ashley
Daniel-François-Esprit,Auber
Larry Don,Austin
Charles,Avison
Milton Byron,Babbitt
Carl Philipp Emanuel,Bach
Johann Christian,Bach
Johann Christoph,Bach
Johann Sebastian,Bach
Wilhelm Friedemann,Bach
Mily Alyekseyevich,Balakirev
Adriano,Banchieri
Granville ,Bantock
Samuel Osmond,Barber
Bela,Bartok
Leslie Raymond,Bassett
Arnold Edward Trevor,Bax
Amy Marcy Cheney,Beach
Ludwig van,Beethoven
Vincenzo,Bellini
Georg Anton,Benda
Orazio,Benevoli
Alban Maria Johannes,Berg
Arthur Victor,Berger
William Laurence,Bergsma
Luciano,Berio
Louis-Hector,Berlioz
Christoph,Bernhard
Leonard ,Bernstein
Louise-Angélique,Bertin
Heinrich Ignaz Franz von,Biber
William,Billings
Gilles de Bins dit,Binchois
Gordon Ware,Binkerd
Harrison,Birtwistle
Henry Rowley,Bishop
Georges-Alexandre-César-Léopold,Bizet
Easley,Blackwood
Marc Samuel,Blitzstein
Ernest,Bloch
John,Blow
Luigi,Boccherini
Georg,Böhm
François-Adrien,Boieldieu
Arrigo,Boito
William Elden,Bolcom
Giovanni,Bononcini
Benjamin,Boretz
Alyeksandr Porfiryevich,Borodin
Dmytro Stepanovych,Bortnyansky
Juliette Nadia,Boulanger
Marie-Juliette Olga Lili,Boulanger
Pierre,Boulez
William,Boyce
William,Brade
Johannes,Brahms
Henry Dreyfuss,Brant
Anthony Delano,Braxton
Frank,Bridge
Edward Benjamin,Britten
Earle Appleton,Brown
Augusta,Browne Garrett
Joseph Anton,Bruckner
John,Bull
Antoine,Busnoys
Ferruccio Dante Michelangelo Benvenuto,Busoni
Dietrich ,Buxtehude
William,Byrd
Juan Bautista José,Cabanilles
Antonio de,Cabezón
Francesca,Caccini
Giulio Romolo,Caccini
John Milton,"Cage, Jr."
Antonio,Caldara
Giuseppe Maria Gioacchino,Cambini
Thomas,Campion
André,Campra
Cornelius,Cardew
Giacomo,Carissimi
John Alden,Carpenter
Julián Antonio,Carrillo Trujillo
Elliott Cook,Carter
Alfredo,Casella
Emilio de',Cavalieri
Pietro Francesco,Cavalli
Joan,Cererols
Antonio,Cesti
Alexis-Emmanuel,Chabrier
George Whitefield,Chadwick
"Jacques Champion, Sieur de",Chambonnières
Claude Joseph Arthur Adonai,Champagne
Gustave,Charpentier
Marc-Antoine,Charpentier
Amédée-Ernest,Chausson
Carlos Antonio de Padua,Chávez y Ramírez
Yi,Chen
Luigi Carlo Zanobi Salvadore Maria,Cherubini
Unsuk,Chin
Fryderyk Franciszek,Chopin
John MacLeod,Chowning
Johannes,Ciconia
Domenico,Cimarosa
James Paton,Clarke
Muzio,Clementi
Louis-Nicolas,Clérambault
Michael Charles,Colgrass
Giovanni Paolo,Colonna
Frederick Shepherd,Converse
Aaron,Copland
Arcangelo,Corelli
John Paul,Corigliano
Carl August Peter,Cornelius
William,Cornysh
François,Couperin
Louis,Couperin
Henry Dixon,Cowell
Chiara Margarita,Cozzolani
Bartolomeo,Cristofori
William,Crotch
Johannes,Crüger
George Henry,Crumb
Cesar Antonovich,Cui
Carl,Czerny
Evaristo Felice,Dall'Abaco
Luigi,Dallapiccola
François-André,Danican Philidor
Alyeksandr Sergeyevich,Dargomizhsky
Michael,Daugherty
Mario,Davidovsky
Peter Maxwell,Davies
Anthony ,Davis
Achille-Claude,Debussy
David Walter,Del Tredici
Clément Philibert Léo,Delibes
Frederick Theodore Albert,Delius
Norman,Dello Joio
Johannes Christoph,Demantius
Richard,Dering
David Leo,Diamond
Alphons Johannes Maria,Diepenbrock
Carl,Ditters von Dittersdorf
Charles Malcolm,Dodge
Domenico Gaetano Maria,Donizetti
John,Dowland
Jacob Raphael,Druckman
Guillaume,DuFay
Paul Abraham,Dukas
Henri,DuMont
John,Dunstaple
Marie Eugène,Duparc
Jan Ladislav,Dussek
Antonín Leopold,Dvorák
John Charles,Eaton
Werner Joseph,Egk
Hanns,Eisler
Edward William,Elgar
Edward Kennedy,Ellington
Juan del,Encina
Robert,Erickson
Manuel de,Falla y Matheu
Jeanne-Louise Dumont,Farrenc
Arthur,Farwell
Gabriel Urbain,Fauré
Robert,Fayrfax
Morton,Feldman
Brian,Ferneyhough
Alfonso,Ferrabosco(y)
Benedetto,Ferrari
Costanzo,Festa
John,Field
Johann Anton,Fils
Heinrich,Finck
Irving Gifford,Fine
Ross Lee,Finney
Johann Caspar Ferdinand,Fischer
Arthur William,Foote
Lukas,Foss
Stephen Collins,Foster
César-Auguste-Jean-Guillaume-Hubert,Franck
Robert,Franz
Girolamo Alessandro,Frescobaldi
Johann Jacob,Froberger
Johann Joseph,Fux
Andrea,Gabrieli
Domenico,Gabrielli
Kenneth Louis,Gaburo
Franchinus,Gaffurius
Marco da,Gagliano
Vincenzo,Galilei
Baldassare,Galuppi
Francesco,Gasparini
Florian Leopold,Gassmann
Giovanni Giacomo,Gastoldi
Ennemond,Gaultier
Francesco Saverio,Geminiani
Roberto,Gerhard
Paul,Gerhardt
George,Gershwin
Carlo,Gesualdo
Christopher,Gibbons
Orlando,Gibbons
Henry Franklin Belknap,Gilbert
Alberto Evaristo,Ginastera
Umberto Menotti Maria,Giordano
Lodovico,Giustini
Heinrich,Glarean
Philip,Glass
Alyeksandr Konstantinovich,Glazunov
Mikahil Ivanovich,Glinka
Christoph Willibald Ritter von,Gluck
Peter Alexander,Goehr
Osvaldo Noé,Golijov
Yefim,Golishev
Nicolas,Gombert
Antônio Carlos,Gomes
Henryk Mikolaj,Górecki
Annie,Gosfield
François-Joseph,Gossec
Louis Moreau,Gottschalk
Claude,Goudimel
Charles-François,Gounod
George Percy Aldridge,Grainger
Enrique,Granados y Campiña
Carl Heinrich,Graun
Johann Gottlieb,Graun
Christoph,Graupner
Maurice,Greene
André-Ernest-Modeste,Grétry
Edvard Hagerup,Grieg
Charles Tomlinson,Griffes
Gérard,Grisey
Bartolomeo Giuseppe,Guarneri
Sofiya Asgatovna,Gubaydulina
Francisco,Guerrero
Alois,Haba
Jacques-François-Fromental-Elie,Halévy
Andreas,Hammerschmidt
George Frideric,Handel
Jacobus,Handl
Howard,Hanson
John,Harbison
Roy Ellsworth,Harris
Lou Silver,Harrison
Karl Amadeus,Hartmann
Jonathan Dean,Harvey
Johann Adolf,Hasse
Hans Leo,Hassler
Josef Matthias,Hauer
Franz Joseph,Haydn
Johann Michael,Haydn
Anthony Philip,Heinrich
Pierre,Henry
Georg Martin Adolf von,Henselt
Hans Werner,Henze
Victor August,Herbert
Johannes,Herbst
Louis Joseph Ferdinand,Hérold
Henri,Herz
Juan,Hidalgo
Jennifer Elaine,Higdon
,Hildegard of Bingen
Johann Adam,Hiller
Lejaren Arthur,Hiller
Paul,Hindemith
Paul,Hofhaimer
Robin Greville,Holloway
Gustavus Theodore von,Holst
Ignaz Jakob,Holzbauer
Arthur,Honegger
Alan,Hovhaness Chakmakjian
Hubert,Howe
Pelham,Humfrey
Johann Nepomuk,Hummel
Engelbert,Humperdinck
Karel,Husa
Toshi ,Ichiyanagi
Andrew Welsh,Imbrie
Vincent d',Indy
John,Ireland
Henricus,Isaac
Charles Edward,Ives
Elisabeth,Jacquet de la Guerre
Leos,Janácek
John,Jenkins
Benjamin Burwell,Johnston
Betsy,Jolas
Niccolò,Jommelli
,Josquin des Prez
Mauricio Raúl,Kagel
Friedrich Wilhelm Michael,Kalkbrenner
Ulysses Simpson,Kay
Reinhard,Keiser
Jacobus de,Kerle
Johann Caspar,Kerll
Aram Illyich,Khachaturian
Johanna Mockel,Kinkel
Leon,Kirchner
Phil ,Kline
Heinrich Christoph,Koch
Zoltán,Kodály
Charles Louis Eugène,Koechlin
Gottfried Michael,Koenig
Leopold Anton,Kozeluch
Ernst,Krenek
Adam,Krieger
Johann,Krieger
Johann Philipp,Krieger
Johann,Kuhnau
György ,Kurtág
Johann Sigismund,Kusser
Helmut Friedrich,Lachenmann
Michel-Richard de,Lalande
Edouard-Victoire-Antoine,Lalo
Stefano,Landi
Francesco,Landini
Josephine Caroline,Lang
Nicholas,Lanier
Paul,Lansky
Libby,Larsen
Orlande de,Lassus
Gaetano,Latilla
Andrew,Law
Henry,Lawes
William,Lawes
Francesco de,Layolle
Leonhard,Lechner
Jean-Marie,Leclair
Antonius Wilhemus Adrianus (Ton) de,Leeuw
Giovanni,Legrenzi
Franz Christian,Lehár
Claude ,LeJeune
Leonardo Orensio Salvatore de,Leo
Ruggero,Leoncavallo
Lowell (Seth),Liebermann
Lowell (Seth),Liebermann
György Sándor,Ligeti
Magnus,Lindberg
Franz,Liszt
Jonathan,Lloyd
Pietro Antonio,Locatelli
Matthew,Locke
Charles Martin,Loeffler
Johann Carl Gottfried,Loewe
Nicola Bonifacio,Logroscino
Francisco ,López
Gustav Albert,Lortzing
Arthur Vincent,Lourié
Alvin Augustus,Lucier
Otto Clarence,Luening
Jean-Baptiste,Lully
Witold Roman,Lutoslawski
Luzzasco,Luzzaschi
Edward Alexander,MacDowell
Tod,Machover
Steven,Mackey
Ernest Alexander Campbell,MacMillan
Bruno,Maderna
Gustav,Mahler
Gian Francesco,Malipiero
Pierre de,Manchicourt
Francesco,Manelli
Luca,Marenzio
Biagio,Marini
Heinrich August,Marschner
Giovanni Battista,Martini
Johannes,Martini
Donald James,Martino
Bohuslav Jan,Martinu
Salvatore,Martirano
Pietro,Mascagni
Daniel Gregory,Mason
Lowell,Mason
Jules Emile Frédéric,Massenet
Johann,Mattheson
Jacques,Mauduit
Johann Simon,Mayr
Toshiro,Mayuzumi
Colin Carhart,McPhee
Etienne-Nicolas,Méhul
John,Melby
Felix Jacob Ludwig,Mendelssohn
Fanny Cäcilie,Mendelssohn Hensel
Peter,Mennin
Gian Carlo,Menotti
Tarquinio,Merula
Claudio,Merulo
Olivier Eugène Prosper Charles,Messiaen
Edgar,Meyer
Jakob Liebmann Meyer,Meyerbeer
Darius,Milhaud
Jean-Joseph Cassanéa de ,Mondonville
Stanislaw,Moniuszko
Matthias Georg,Monn
Pierre-Alexandre,Monsigny
Philippe de,Monte
Claudio,Monteverdi
Robert Arthur,Moog
Alexander Vasilyevich,Mosolov
Jean,Mouton
Johann Chrysostom Wolfgang Amadeus,Mozart
Johann Georg Leopold,Mozart
Georg,Muffat
Gottlieb,Muffat
Nico,Muhly
Gordon MacLeod,Mumma
Tristan,Murail
Thea,Musgrave
Modest Petrovich,Musorgsky
Samuel Conlon,Nancarrow
Christian Gottlob,Neefe
Max,Neuhaus
Olga ,Neuwirth
Carl Otto Ehrenfried,Nicolai
Carl August,Nielsen
Luigi,Nono
Nicolas,Obouhow
Jacob,Obrecht
Jean de,Ockeghem
Bruce ,Odland
Jacques,Offenbach
Pauline,Oliveros
Carl,Orff
Lucas,Osiander
Johann,Pachelbel
Nicolò,Paganini
Nam June,Paik
